spec,fold,group_id,n_test,y_test_mean,y_test_std,SSE,SST,SAE,SBE,SUM_Y,SUM_P,SUM_YY,SUM_PP,SUM_YP,test_rmse,test_mae,test_mbe,test_r2,test_corr,test_mae_norm,test_mbe_norm,base_rmse,base_mae,base_mbe,base_r2,base_corr,base_mae_norm,base_mbe_norm,oob_rmse,oob_mae,oob_mbe,oob_r2,oob_corr,oob_mae_norm,oob_mbe_norm
LOEO_event,1,AL0520,3321,7.928641842356626,3.968602580013948,20905.982160916872,52305.10718090807,5864.7573152054365,-440.56905865758716,26331.019558466356,25890.450499808765,261074.33060407513,224288.76563723182,232228.55704019504,2.5090010897182626,1.7659612511910379,-0.13266156538921625,0.6003070581882339,0.786581771243483,0.22273187341580586,-0.016731940731703594,3.9738315702614737,3.0780425565858986,-0.20379134111488217,-0.002636915626655245,-3.126883576138908e-17,0.38821813594130183,-0.025703184122428387,2.40280409851787,1.594671947446186,-0.004854241497189335,0.6460680342386578,0.8059602272748395,0.2064340205923529,-0.0006283929373661059
LOEO_event,2,FL0520,4799,8.097514244114127,3.8310896675681345,30731.29141432195,70436.11334850619,8794.279780116807,-1625.710905558091,38859.97085750369,37234.2599519456,385105.2808930021,325286.11782035,339830.0536495151,2.530550627696194,1.8325233965652858,-0.3387603470635739,0.563699784764264,0.7569493480802927,0.22630690620856883,-0.04183510357018637,3.8533032024256886,3.0509515932769347,-0.413155574664973,-0.011630077273377504,2.3806625993661653e-16,0.37677631694128755,-0.05102251903604678,2.4400325937380694,1.6096207375482101,-0.0033165106003130657,0.6393683149484614,0.8016183535705474,0.2094671535762131,-0.0004315923739346757
LOEO_event,3,LA0420,1248,6.572505573835344,4.963588218263456,11858.852046005339,30747.235584603768,2778.8986394839617,136.3571482824173,8202.48695614651,8338.844104428925,84658.1268231884,69604.80020170094,71202.03748944201,3.0825777027146466,2.2266816021506104,0.10926053548270619,0.6143116016601022,0.7934304635184679,0.3387873280800041,0.016623878710375576,5.11145507021824,4.257881512996152,1.2205592711441668,-0.060468090960092535,,0.6478323167874458,0.18570684458650327,2.372165109671021,1.5703955502281912,-0.003973880700681972,0.6452724835847954,0.8053983142933996,0.20151193162981054,-0.0005099252707029694
LOEO_event,4,LA0620,2062,8.484056327430537,3.722787859310621,14776.744760735764,28577.566156477813,4186.155897162238,-1987.652106156841,17494.124147161765,15506.472041004923,176998.7008200609,131491.51730626903,146856.73668279708,2.676979561667719,2.03014350007868,-0.9639437954203884,0.4829250090849234,0.7418764358570716,0.2392892528913142,-0.11361826916492508,3.8054048856247786,3.03708335469865,-0.7886424399601977,-0.0448769890645373,-2.0456226681980404e-16,0.35797538789071837,-0.09295582319631349,2.3883301584576406,1.590290866503822,-0.003322581237378913,0.651813498401695,0.8095832488525474,0.20665436450314015,-0.0004317612133622514
LOEO_event,5,MD0220,112,7.820588122531771,3.7206497195254093,443.802094256507,1550.4422455653048,149.58187813509642,-39.794715057360094,875.9058697235583,836.1111546661983,8400.541286781227,7260.23858021142,7608.488886368069,1.990607620481448,1.335552483349075,-0.35530995586928654,0.7137577387833025,0.851196625121462,0.17077391909966927,-0.04543263886326,3.7214058342410765,2.8019370865466073,-0.07501365021790359,-0.00040648359932937694,-3.4102278083279715e-17,0.3582770301473864,-0.009591817014603155,2.3802941958890713,1.5755719590592492,-0.003508628033233799,0.6516926842286165,0.8094071574854546,0.2034157653110231,-0.0004529848684271513
LOEO_event,6,MISSING,17011,7.641392653831066,4.047038188973102,131142.51194228482,278614.97145024664,33419.66146987301,-3751.8554203808612,129987.73043432027,126235.87501393941,1271902.2598792345,1078126.249681233,1109442.9988090913,2.776558490763297,1.9645912333121516,-0.22055466582686856,0.529305581607256,0.7297822884653591,0.2570985842910703,-0.02886315045154654,4.053068623521192,3.0872949251758253,0.22101394518284415,-0.002982392158928926,-1.1146712817601118e-17,0.4040225473334351,0.028923254594440614,2.3715534441220094,1.5638461991181871,-0.0028232615756506136,0.6506298928076298,0.80958102468306,0.19890172041144782,-0.0003590836393534649
LOEO_event,7,NC0220,968,7.48640663538352,3.3775291119133386,4343.025692008527,11042.6564089638,1192.6771126241642,266.04434853960043,7246.841623051247,7512.885971590847,65295.45962134812,64707.56729375085,62830.00061154522,2.1181588205951427,1.2321044551902522,0.27483920303677734,0.6067046251223478,0.7834682700458289,0.16457888479726335,0.036711765259688924,3.3881020391082353,2.271581312397279,0.2674556516270946,-0.006270545981334141,2.857863608743963e-16,0.30342745499034846,0.0357255041908892,2.4026793040919627,1.5997975413122734,-0.003060239391568091,0.6481292230967817,0.8072526509624944,0.20632266631718213,-0.0003946729098728836
LOEO_event,8,NJ0220,81,6.376581666632114,4.3853207347416765,639.0112115753686,1557.7140736709773,149.98508112815378,28.105028725560846,516.5031149972012,544.6081437227621,4851.23836752051,4422.829893938894,4317.528524942018,2.8087412311210893,1.851667668248812,0.34697566327852897,0.5897763123694153,0.7758482395158817,0.290385627449636,0.05441405464846643,4.595143679807044,3.518471755603567,1.372700801892148,-0.09798262042600103,2.575437768119096e-16,0.551780238935119,0.2152722059650434,2.383541518897235,1.5767392660977704,-0.0036498953051253375,0.6502985282413578,0.8085067197934459,0.2034690660073509,-0.0004709978401162097
LOEO_event,9,PA0220,1086,8.76245017356068,3.4377103399539584,4608.343562472728,12834.187686229026,1423.0307265927304,-476.3885598614543,9516.020888486899,9039.632328625445,96217.84657215813,82550.36155848223,87079.93228408383,2.059953950582393,1.3103413688699175,-0.4386634989516154,0.6409321980371658,0.8127789619701941,0.14954052153399597,-0.050061739611965354,3.5950855625341203,2.9553272831774495,-1.0520398378934666,-0.09365388776173966,,0.33727179323594747,-0.12006229046161448,2.394393598815137,1.5923110927733457,-0.003360044833228684,0.649901492098897,0.8083703034509913,0.2065144426111216,-0.00043578028755300027
LOEO_event,10,SC0220,351,7.819833515627185,3.7928816171427573,889.6294233416795,5049.46878754247,358.06762330432196,-49.51153206820486,2744.761563985142,2695.2500319169376,26513.047257998776,24372.28715386356,24997.852494260325,1.5920291334197394,1.0201356789296923,-0.14105849592081157,0.8238172249848377,0.91018901304632,0.13045491018332414,-0.018038554866790926,3.7936193677460888,2.895939035055892,-0.07481273741000945,-0.0003890563573929473,,0.37033256900784856,-0.009567049894413147,2.387967757401809,1.5840293740975984,-0.003464066279351456,0.6497048336948099,0.8082711252130484,0.2045222885073041,-0.00044726365216399695
LOEO_event,11,TX0120,1081,7.065460024104026,4.397024343774192,9568.673778833278,20899.86274920204,2247.727792012719,-489.097348712692,7637.7622860564525,7148.66493734376,74864.16685494328,59114.626171733806,62205.05962392191,2.9751785025364326,2.0793041554234217,-0.45244898123283256,0.5421657121074341,0.7435305365865624,0.29429140471106113,-0.06403673358695534,4.45302111090902,3.5409160560148183,0.7039701232712524,-0.025632485226255275,-6.054254357015268e-17,0.5011586002800777,0.09963542654967086,2.375286843739243,1.568937954757526,-0.005999649093459529,0.650326262657462,0.8086082041432792,0.20193732680479212,-0.0007722122446118357
LOEO_event,12,TX0420,132,3.072288712062,4.164346506581965,1474.3790377546625,2289.115201148347,326.60984806522475,210.36170966883947,405.542109992184,615.9038196610234,3535.05764794314,4244.372449764231,3152.525529976354,3.342085900273667,2.4743170307971574,1.5936493156730263,0.3559175016552105,0.7115102639698455,0.8053660520519547,0.5187173032977852,6.274050437783273,5.407814638230977,4.692752611097996,-1.2698768378478258,9.371463544157418e-17,1.7601909016556792,1.5274451885572968,2.3806777467709845,1.5739802564661978,-0.0010882418064093,0.6493606262400561,0.8079276406777349,0.20270082166486966,-0.00014014629943610374
