spec,fold,n_test,SSE,SST,SAE,SBE,SUM_Y,SUM_P,SUM_YY,SUM_PP,SUM_YP,test_rmse,test_mae,test_mbe,test_r2,test_corr,test_mae_norm,test_mbe_norm,base_rmse,base_mae,base_mbe,base_r2,base_corr,base_mae_norm,base_mbe_norm,oob_rmse,oob_mae,oob_mbe,oob_r2,oob_corr,oob_mae_norm,oob_mbe_norm
Random_80_20,1,6451,22968.056087382727,107059.36258641919,7655.366235199216,-123.95899119632256,49865.21928243393,49741.26029123761,492509.69495120307,456653.0566839897,463097.347773905,1.8868987599504914,1.1866945024336095,-0.019215469104994998,0.7854642925896114,0.8884451592443866,0.1535211585421821,-0.0024858807998863024,4.0738406204365845,3.1772760289142106,0.019990020840017334,-2.407846971719252e-05,,0.4110401590020869,0.002586083572771516,1.8386815985895373,1.1630181667911759,-0.0068537252483622515,0.7909737887261709,0.8915324625224129,0.15007008732408267,-0.0008843706623730419
Random_80_20,2,6451,20198.014605108572,103209.29243179876,7362.477963003364,-209.33418941542664,50139.20896971588,49929.87478030046,492907.0565162566,457524.273992377,465116.6579517625,1.7694602871537046,1.1412925070536915,-0.03244988209819046,0.8043004255798427,0.89957127240548,0.14684072833000428,-0.004175059673196374,4.000006994321196,3.105642192124297,-0.03310175928868088,-6.848735495168512e-05,-2.147889253904596e-16,0.39957746029648555,-0.0042589313545065765,1.869722146285737,1.179024690505584,-0.00909204634077614,0.7858307825175539,0.8885951112998852,0.1523442419800033,-0.0011748022912383984
Random_80_20,3,6451,22838.86499728862,107736.26647234266,7681.583808493144,-175.52346243980082,49632.07425646765,49456.55079402785,489590.6758661604,452331.4693169756,459541.6400929237,1.8815845473479458,1.1907586123846137,-0.027208721506712247,0.7880113563880399,0.8901788283985794,0.15477055761964537,-0.003536492582050969,4.087169513975464,3.1920701158136544,0.06516721192153271,-0.0002542865573462727,5.437625149829851e-17,0.4148938891956646,0.008470201787930015,1.8435874900905578,1.1642185651921202,-0.006719720848199778,0.7895054126524965,0.8906386629717099,0.15005002296732545,-0.0008660695661041987
Random_80_20,4,6451,22475.53455588221,107719.27035900249,7553.286051070816,171.60575863816905,49384.93349970247,49556.539258340636,485780.2929555047,454785.8269970098,459045.29269831616,1.8665580194174325,1.1708705706201854,0.026601419723789998,0.7913508466871653,0.8917910468995688,0.1529471746907652,0.0034748605794761907,4.087891262179211,3.171489484217224,0.11305639654443482,-0.0007654624955357736,-6.576878330479244e-17,0.41428179027128936,0.014768204843538829,1.8428175577633181,1.1645795293186403,-0.007713779799605716,0.7896675355294767,0.8907255319916816,0.14991147223546225,-0.0009929627450481005
Random_80_20,5,6451,21427.46669401614,104499.86821137232,7506.914410932524,-197.78920456832043,50224.78620983618,50026.99700526787,495529.03420482314,460159.003324467,467130.285417637,1.8225182816632504,1.1636822835114746,-0.03066023943083558,0.7949522132346165,0.89382811517794,0.14946632882754501,-0.00393807957174708,4.025107080591345,3.1402131689150954,-0.04968431048453021,-0.0001523876716014172,8.437995501128664e-17,0.4033370110932196,-0.006381579915474762,1.8560536130495482,1.1699928198805913,-0.00946864064644412,0.7882983823522289,0.8899525871333185,0.1512420333817665,-0.001223987395816333
