spec,fold,group_id,n_test,y_test_mean,y_test_std,SSE,SST,SAE,SBE,SUM_Y,SUM_P,SUM_YY,SUM_PP,SUM_YP,test_rmse,test_mae,test_mbe,test_r2,test_corr,test_mae_norm,test_mbe_norm,base_rmse,base_mae,base_mbe,base_r2,base_corr,base_mae_norm,base_mbe_norm,oob_rmse,oob_mae,oob_mbe,oob_r2,oob_corr,oob_mae_norm,oob_mbe_norm
LOSO_state,20,MA,58,5.121350649601371,4.444560939232734,245.41351216781396,1145.739072668095,57.31523850825094,31.534346848936018,297.03833767687956,328.5726845258156,2666.9765562860935,2947.950892321827,2684.7569682200533,2.057004484965749,0.988193767383637,0.543695635326483,0.7858033141906239,0.898058933354176,0.19295569372125587,0.10616254822715614,5.163998497442662,4.0570028096384245,2.6292125321161657,-0.34994005601157974,,0.7921743866443138,0.5133826429793115,1.8000920455293254,1.1006791445583701,-0.006976584652480082,0.8004666163362607,0.895644948448793,0.14201279555461385,-0.0009001390594346538
LOSO_state,21,MD,396,6.781813083992377,4.142914884321663,633.9346456622577,6796.842520538656,322.1136832913593,-25.925072244530007,2685.597981260981,2659.6729090164517,25010.0660481979,23735.56279503926,24055.84709878745,1.2652450611654966,0.8134183921498972,-0.06546735415285355,0.9067310087372721,0.9526363270740315,0.11994113993938726,-0.009653370469230576,4.256328304433512,3.169189447289291,0.9760055821499584,-0.05549994866435504,-2.165504105054548e-16,0.4673071062323683,0.14391514040009415,1.8066318406972188,1.1035354521115328,-0.005074514885247637,0.7989618874381078,0.8947675840533323,0.14224816273777102,-0.0006541162024570751
LOSO_state,22,ME,11,4.460907245330409,4.914456071239844,42.69695426335448,265.67066323760776,13.058670827566631,-3.4474158880455987,49.0699796986345,45.62256381058889,484.56729120346245,361.4729135765779,401.67162525834294,1.970162758928457,1.1871518934151484,-0.3134014443677817,0.8392861532281131,0.9262893838860469,0.26612342022081625,-0.07025509097859954,5.911851915144359,5.165175947322488,3.286048476582454,-0.44709212167967505,0.0,1.1578756659263187,0.7366323251895062,1.799249326988697,1.0971123021993652,-0.003831631243866524,0.8008049258826182,0.8957784871535256,0.1416185068795602,-0.0004945983146681036
LOSO_state,23,MI,742,9.50558938570188,2.8195249923474015,1925.7576754108736,5898.693117393937,923.7229489283676,-515.3178429105303,7053.147324190795,6537.829481280264,72943.01545801356,61031.26012991764,66024.25895626016,1.6110123365549298,1.2449096346743498,-0.6944984405802296,0.6735280786633497,0.8627469009279145,0.13096606471839803,-0.07306211244774369,3.345746302919027,2.8386007149243913,-1.8011932547688279,-0.40810200339831937,-5.434133864530599e-17,0.29862437769447087,-0.189487803615644,1.8074062980857315,1.1029552090844057,-0.005342336420283548,0.8005579981811232,0.8956876808868546,0.14315920292001272,-0.0006934140365439072
LOSO_state,24,MN,36,7.18216449134917,3.7903474447515744,139.9758875950232,517.2024150696524,43.8310311023929,12.804361176853144,258.5579216885701,271.36228286542325,2374.20793917834,2475.2239435291744,2354.7279975562456,1.9718567645398983,1.2175286417331361,0.3556766993570318,0.7293595630713123,0.8606694962778066,0.16952113018291834,0.049522215731126744,3.8321232551322613,2.7286581071765004,0.5643003549446806,-0.022164738074011092,-1.4319945831863674e-16,0.3799214165121303,0.0785696784895937,1.800515021447455,1.0990619321332202,-0.001960296467745514,0.8006243668668562,0.8957159128819885,0.1418791608741432,-0.00025305691133206145
LOSO_state,25,MO,260,8.554720276899483,3.637778441194507,679.0904801687016,3440.6923166770803,282.10986291972563,-85.75619955922737,2224.2272719938655,2138.4710724346387,22468.334460835827,20255.649263060117,21022.446621863623,1.6161331820698794,1.085037934306637,-0.3298315367662591,0.8026296984251857,0.9007009103621664,0.12683499859563976,-0.038555502236222866,3.7280565451813064,2.9356657298023414,-0.8154591448071671,-0.050249520871973985,3.00497319468749e-16,0.34316326364633926,-0.09532271288976812,1.8051777832626548,1.104191982502167,-0.005587557139856268,0.7998054088523617,0.8952550668080529,0.14267408266189976,-0.0007219755277007518
LOSO_state,26,MS,1375,7.913747221557714,3.390880369089532,4001.7590249853574,15809.845806530544,1479.9400701088666,-66.2392848047245,10881.402429641857,10815.163144837134,101922.51405076018,96203.15809827007,97061.95656202245,1.705980715010973,1.0763200509882667,-0.048174025312526916,0.7468818435071417,0.8647148572838776,0.1360063723107405,-0.0060873848966639735,3.395413259684349,2.4241345974578707,-0.17538964212158362,-0.002675364424325588,,0.3063194375041856,-0.022162654076668946,1.8050085123884572,1.101256396614336,-0.006824650586602147,0.8021697041044723,0.8965466810231694,0.14231138653256456,-0.0008819249455127191
LOSO_state,27,MT,3,3.46466607259557,4.899777748958581,83.75359279828353,72.02346596756885,10.292498249131064,8.295821482216759,10.39399821778671,18.68981970000347,108.0351989513533,171.0353369928334,97.65847157295158,5.2837358247829265,3.430832749710355,2.7652738274055864,-0.16286534774647743,0.5247183345874226,0.9902347521589956,0.7981357422229062,6.506891677794688,6.04674381569534,4.2815671567037406,-0.7635768594759955,,1.7452602037244516,1.235780611173355,1.799019212251821,1.0966023794937478,-0.004317416406206361,0.8009042634126663,0.8958036733625258,0.14156588719094657,-0.0005573568828106271
LOSO_state,28,NC,1778,7.805413202440427,3.4076402045839824,4568.376448170566,20646.15691620916,1705.2328487728325,161.6748468067384,13878.024673939079,14039.699520745817,128969.87392996723,125693.50006827366,125047.49877503517,1.602931869504646,0.9590735932355638,0.09093073498691699,0.7787299366796944,0.8835953842781535,0.1228728791623359,0.011649701640201028,3.408223527079305,2.414719463640315,-0.06305431499695997,-0.00034239085531218016,8.209236238465273e-17,0.30936471920350517,-0.008078280209079197,1.8141128238641937,1.1095970439826797,-0.004028131926994938,0.8008967683936896,0.895841965662911,0.14331511366416,-0.0005202719204256663
LOSO_state,29,ND,27,6.98487351984924,3.537354928873313,165.74812401828302,337.84775710625667,38.97586012210825,18.70210268109022,188.59158503592948,207.29368771701968,1655.136125490116,1808.8951819830293,1649.1415917274312,2.477664103159376,1.4435503748928982,0.6926704696700082,0.5093999574306676,0.7424976632217034,0.2066680764928232,0.09916721723043578,3.6184130459189414,2.4484615695121867,0.7615990270818811,-0.04635488257061415,5.021709370753022e-16,0.3505377101753209,0.10903547858348611,1.7974798222139965,1.097737046159723,-0.005031360056705097,0.8013069186199826,0.89608562664288,0.14170798896003417,-0.0006495033741129497
