spec,fold,group_id,n_test,y_test_mean,y_test_std,SSE,SST,SAE,SBE,SUM_Y,SUM_P,SUM_YY,SUM_PP,SUM_YP,test_rmse,test_mae,test_mbe,test_r2,test_corr,test_mae_norm,test_mbe_norm,base_rmse,base_mae,base_mbe,base_r2,base_corr,base_mae_norm,base_mbe_norm,oob_rmse,oob_mae,oob_mbe,oob_r2,oob_corr,oob_mae_norm,oob_mbe_norm
LOEO_event,1,AL0520,3321,7.928641842356626,3.968602580013948,14721.901050964512,52305.10718090807,4546.870234133247,-169.08301020144867,26331.019558466356,26161.93654826491,261074.33060407513,234885.1470412798,240618.7882971952,2.1054624938114874,1.3691268395462954,-0.05091328220459159,0.718537981385914,0.8553182375654929,0.1726811308630572,-0.006421438023924998,3.9738315702614737,3.0780425565858986,-0.20379134111488217,-0.002636915626655245,-3.126883576138908e-17,0.38821813594130183,-0.025703184122428387,1.816704884131271,1.1361785627824499,-0.006056038879721067,0.7976739384839334,0.8949773742006031,0.1470809775023883,-0.0007839684248578764
LOEO_event,2,FL0520,4799,8.097514244114127,3.8310896675681345,17378.948694876446,70436.11334850619,6146.623231236654,-935.9052866159404,38859.97085750369,37924.065570887746,385105.2808930021,346139.97437312786,356933.1532856268,1.902989428046901,1.2808133426206822,-0.1950208973986123,0.7532665011073468,0.871427333100983,0.1581736448999361,-0.024084044994470734,3.8533032024256886,3.0509515932769347,-0.413155574664973,-0.011630077273377504,2.3806625993661653e-16,0.37677631694128755,-0.05102251903604678,1.8364630599952956,1.1417534142093617,-0.007550449259552233,0.7957147455332186,0.8938933717995197,0.14858148393679904,-0.0009825737689172025
LOEO_event,3,LA0420,1248,6.572505573835344,4.963588218263456,9467.421469226725,30747.235584603768,2283.3101193190096,110.8648332894697,8202.48695614651,8313.35178943598,84658.1268231884,72311.54387059732,73751.1246122795,2.7542830092809494,1.8295754161210012,0.08883400103322893,0.6920886938542403,0.8375683192473463,0.2783680280781206,0.013516002388323636,5.11145507021824,4.257881512996152,1.2205592711441668,-0.060468090960092535,,0.6478323167874458,0.18570684458650327,1.7948906639205513,1.121239734319565,-0.006129736477441187,0.7969135034647498,0.8944388970658179,0.14387660780750414,-0.0007865630017681834
LOEO_event,4,LA0620,2062,8.484056327430537,3.722787859310621,9062.3552130336,28577.566156477813,3148.5156369765464,-1208.1591076069274,17494.124147161765,16285.965039554838,176998.7008200609,144042.85103638188,155989.5983217046,2.0964099391333253,1.5269231993096732,-0.5859161530586456,0.682885688605802,0.8489887222609223,0.17997560840948754,-0.06906085137179835,3.8054048856247786,3.03708335469865,-0.7886424399601977,-0.0448769890645373,-2.0456226681980404e-16,0.35797538789071837,-0.09295582319631349,1.8226978499594004,1.1472299641182284,-0.006309091531033643,0.79720718317453,0.8947886204058785,0.14907969615333447,-0.0008198508388621041
LOEO_event,5,MD0220,112,7.820588122531771,3.7206497195254093,232.39173763457302,1550.4422455653048,105.49162333495471,-29.078394199058316,875.9058697235583,846.8274755245,8400.541286781227,7609.163461145586,7888.656505146119,1.4404604225316697,0.9418894940620957,-0.2596285196344493,0.8501126125147338,0.9256798491788091,0.12043716908558742,-0.03319808121417847,3.7214058342410765,2.8019370865466073,-0.07501365021790359,-0.00040648359932937694,-3.4102278083279715e-17,0.3582770301473864,-0.009591817014603155,1.8193016235578008,1.1345366663579173,-0.00675719007146931,0.7965251507963375,0.8942333921203309,0.1464754706591818,-0.0008723936611315941
LOEO_event,6,MISSING,17011,7.641392653831066,4.047038188973102,74045.30720520696,278614.97145024664,24101.33512092146,-3101.9715611895563,129987.73043432027,126885.75887313072,1271902.2598792345,1125122.6523390748,1161489.8025065511,2.0863340564599735,1.4168088366892868,-0.1823509235900039,0.7342378737948418,0.8601068341990634,0.18541238500274682,-0.02386357197579436,4.053068623521192,3.0872949251758253,0.22101394518284415,-0.002982392158928926,-1.1146712817601118e-17,0.4040225473334351,0.028923254594440614,1.906826039170508,1.2206345686352267,-0.008770808968148558,0.7741385776846635,0.8833783891345912,0.1552494841450093,-0.0011155374448897845
LOEO_event,7,NC0220,968,7.48640663538352,3.3775291119133386,2578.674693096158,11042.6564089638,928.119417860683,254.7672301960998,7246.841623051247,7501.608853247346,65295.45962134812,65922.9493368404,64319.86713254618,1.6321519958312802,0.9588010515089701,0.26318928739266506,0.7664805824255352,0.8798609502737105,0.1280722645998579,0.03515562274546181,3.3881020391082353,2.271581312397279,0.2674556516270946,-0.006270545981334141,2.857863608743963e-16,0.30342745499034846,0.0357255041908892,1.8262578243684717,1.1424708517221271,-0.006060987505601767,0.7967101178524861,0.8943029734438571,0.14734216438638734,-0.0007816733495196612
LOEO_event,8,NJ0220,81,6.376581666632114,4.3853207347416765,358.6396429782071,1557.7140736709773,90.9180298032093,31.865637182704926,516.5031149972012,548.3687521799063,4851.23836752051,4844.9255820904655,4668.762153316384,2.104198163983421,1.1224448123853,0.3934029281815423,0.7697654216264341,0.8824401222566552,0.1760261016116078,0.06169495644353974,4.595143679807044,3.518471755603567,1.372700801892148,-0.09798262042600103,2.575437768119096e-16,0.551780238935119,0.2152722059650434,1.813362317118051,1.1278871000321764,-0.006623648910462312,0.7975950214625688,0.8946934732607765,0.1455472948125694,-0.0008547435117207294
LOEO_event,9,PA0220,1086,8.76245017356068,3.4377103399539584,3348.699538078902,12834.187686229026,1213.7195729475925,-431.8538728268784,9516.020888486899,9084.16701566002,96217.84657215813,83925.34094983403,88397.24399195664,1.7559946099160548,1.1176054999517426,-0.39765549984058784,0.7390797438881131,0.8716146038010241,0.12754486220348984,-0.04538177016292212,3.5950855625341203,2.9553272831774495,-1.0520398378934666,-0.09365388776173966,,0.33727179323594747,-0.12006229046161448,1.8208884206668674,1.136294914383045,-0.007046053096294397,0.7975275944972747,0.8946921805885647,0.1473715230338278,-0.0009138363316022755
LOEO_event,10,SC0220,351,7.819833515627185,3.7928816171427573,625.7740299139398,5049.46878754247,292.6734908291571,-34.47857235548547,2744.761563985142,2710.282991629657,26513.047257998776,25113.353632121307,25500.31343010307,1.335227319244483,0.8338276091998779,-0.09822955087032897,0.8760713143810721,0.9367132346626007,0.1066298416115322,-0.012561591071475711,3.7936193677460888,2.895939035055892,-0.07481273741000945,-0.0003890563573929473,,0.37033256900784856,-0.009567049894413147,1.8201950732978198,1.135055865828833,-0.005401961441347356,0.796477187099832,0.8941456566352054,0.1465529787887943,-0.0006974753969079514
